Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Лучи,жилой комплекс,Новостройки,"Юлиана Семёнова, 8 к2",,119619.0,,Солнцево район,Москва,,Москва,Россия,,+03:00,84952560484,,,,http://www.lsr.ru/msk/zhilye-kompleksy/luchi/?utm_source=gis&utm_medium=tgb_msk_Igronik&utm_campaign=lsr.ru_luhi-2gis,,,,,,55.64439599999999,37.391759,https://2gis.com/firm/70000001042927822
Ever,жилой комплекс,Новостройки,"улица Обручева, вл23 к2",,117630.0,,Обручевский район,Москва,,Москва,Россия,,+03:00,,,,,http://ever.ru,,,,,,55.658266000000005,37.531121999999996,https://2gis.com/firm/70000001053834872
Большая семерка,жилой комплекс,Новостройки,"улица Краснобогатырская, вл38 к5 стр",,107564.0,,Богородское район,Москва,,Москва,Россия,,+03:00,84959090101 (отдел продаж - пн-вс 9:00-21:00),,,,http://bestcon.ru,http://большая-семерка.рф,,,,,55.809132999999996,37.702490000000004,https://2gis.com/firm/70000001043902261
Prime Park,Офис продаж,Новостройки,"Ленинградский проспект, 37/5",1 этаж,125167.0,,Хорошёвский район,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00,+03:00,84951725369,,,,http://primepark.ru/?utm_source=2gis&utm_medium=kartochka&utm_campaign=february,,,,https://vk.com/primeparkofficial,https://youtube.com/channel/UCHIT8I4UAUP85OEPfabG_Tg,55.794183999999994,37.541429,https://2gis.com/firm/70000001034538440
Парк Легенд,жилой квартал,Новостройки,"Автозаводская улица, 23 ст120",,115280.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,84958448340 (отдел продаж - пн-вс 9:00-21:00),,,,http://park-legends.com,,,,,,55.701304,37.642487,https://2gis.com/firm/70000001021833798
LIFE-Варшавская,строящийся жилой комплекс,Новостройки,"Каширский проезд, 25 к6",дом сдан,115201.0,,Москворечье-Сабурово район,Москва,,Москва,Россия,,+03:00,84955029559 (отдел продаж - пн-пт 9:30-18:30),84956688867 (отдел продаж ),84951276887 (отдел продаж - пн-пт 9:30-18:30),,http://varshavskaya.life,,,,,,55.652103000000004,37.628206,https://2gis.com/firm/70000001037454749
ПИК,Жилой комплекс Первый Дубровский,Новостройки,"1-й Дубровский проезд, к1/2",,115088.0,,Южнопортовый район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/1dubr?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=dybrovsky_1,,,,https://vk.com/pikru,,55.723949,37.683326,https://2gis.com/firm/70000001062266493
Одинград,жилой комплекс,Новостройки,"Маршала Бирюзова, 13",дом сдан,143003.0,Медицинский кластер,,Одинцово,Одинцовский городской округ,Московская область,Россия,,+03:00,84951321209 (отдел продаж),84955000004,,,http://new.ingrad.ru/projects/odingrad/,,,,https://vk.com/ingrad_development,https://youtube.com/c/ingrad,55.683356,37.265674,https://2gis.com/firm/70000001034559971
Белые Росы,жилой комплекс,Новостройки,"Сосновая, к2",,140055.0,,,Котельники,Котельники городской округ,Московская область,Россия,,+03:00,,,,,http://gk-belye-rosy.ru,,,,,,55.674875,37.85204,https://2gis.com/firm/70000001060839589
Citimix,жилой комплекс,Новостройки,"Никулинская улица, 11г ст2",,119602.0,,Тропарёво-Никулино район,Москва,,Москва,Россия,,+03:00,84951279354 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),84999678631 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),84952121746 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),,http://citi-mix.ru,http://move.ru,,,,,55.660842,37.452877,https://2gis.com/firm/70000001063159917
Лесная Отрада,жилой комплекс,Новостройки,"Лесная Отрада жк, к3",,143442.0,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84951045598 (отдел продаж - пн-вс 9:00-21:00),,,,http://lesnaya-otrada.ru,,,,https://vk.com/otradakvartal,,55.894937,37.292455,https://2gis.com/firm/70000001053826311
Кутузов Grad II,жилой комплекс,Новостройки,"Петра Алексеева, вл12 к5",,121471.0,,Можайский район,Москва,,Москва,Россия,,+03:00,84955000004 (отдел продаж - пн-вс 9:00-21:00),84999678686 (отдел продаж - пн-вс 9:00-21:00),,,http://www.ingrad.ru/projects/kutuzovgrad,,,,https://vk.com/ingrad_development,https://youtube.com/c/ingrad,55.716277000000005,37.430668,https://2gis.com/firm/70000001041415245
МелисСад,Офис продаж,,"улица Адмирала Корнилова, вл66/1",,108820.0,,Мосрентген поселение,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84951823613,,,,http://melissad.ru,,,,https://vk.com/gkmic,,55.623289,37.443564,https://2gis.com/firm/70000001064324214
Императорские Мытищи,жилой комплекс,Новостройки,"Тенистый бульвар, 9",дом сдан,141032.0,,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,84952921561 (отдел продаж: пн-вс 9:00-21:00),,,info@granelle.com,http://granelle.ru/objects/mytishi/?utm_source=2gis&utm_campaign=im,,,https://twitter.com/gk_granelle,https://vk.com/granelle_group,https://youtube.com/channel/UCxrNN-zjDh74HfWm5A9Plrw,55.95843299999999,37.676237,https://2gis.com/firm/70000001047820176
ПИК,Жилой комплекс Барклая 6,Новостройки,"улица Барклая, вл6 к6",,121087.0,,Филёвский парк район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/barclay6?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=barklaya_6,,,,https://vk.com/pikru,,55.740697,37.506609000000005,https://2gis.com/firm/70000001053702587
Союз,жилой комплекс,Новостройки,"Сельскохозяйственная улица, 26 к3",,129226.0,,Ростокино район,Москва,,Москва,Россия,,+03:00,84952561885 (офис продаж: пн-вс 9:00-21:00),,,,http://soyuzmoscow.ru,,,,,,55.838758,37.641528,https://2gis.com/firm/70000001062769652
Настоящее,жилой комплекс,Новостройки,"Винницкая, 8 к2",,119192.0,,Раменки район,Москва,,Москва,Россия,,+03:00,84950326156 (отдел продаж: пн-вс 9:00-21:00),,,,http://настоящее.москва,,,,,,55.701335,37.492684999999994,https://2gis.com/firm/70000001042907167
AFI Park Воронцовский,строящийся жилой комплекс,Новостройки,"Академика Челомея, к2",,117630.0,,Обручевский район,Москва,,Москва,Россия,,+03:00,84951812219 (единый номер - пн-вс 10:00-20:00),,,,http://afi-v-park.ru/?utm_source=2gis&utm_medium=maps,,,,,,55.662218,37.536877000000004,https://2gis.com/firm/70000001053835694
Новые Ватутинки,жилой комплекс,Новостройки,"3-я Нововатутинская улица, 4",,108836.0,Новые Ватутинки Центральный микрорайон жилой комплекс,Десёновское поселение,Москва,,Москва,Россия,,+03:00,84999624949 (отдел продаж - пн-пт 9:00-21:00; сб-вс 9:00-19:00),84999624999 (отдел продаж - пн-пт 9:00-21:00; сб-вс 9:00-19:00),,,http://vatutinki.ru,,,,https://vk.com/novievatutinki,https://youtube.com/channel/UCxc9OAywRIDdKqKlHBhAHtw/videos,55.521840000000005,37.352931,https://2gis.com/firm/70000001046841054
Союзный,жилой комплекс,Новостройки,"Маковского, 28",,143006.0,8-й м-н,,Одинцово,Одинцовский городской округ,Московская область,Россия,,+03:00,84950320052 (отдел продаж - пн-пт 9:00-19:00; сб-вс 10:00-18:00),,,,http://союзный.рф,,,,https://vk.com/souzny,,55.660479,37.286055,https://2gis.com/firm/70000001043871557
Алхимово,жилой комплекс,Новостройки,"Рязановское шоссе, к2",,108823.0,,Рязановское поселение,Москва,,Москва,Россия,,+03:00,84951068338 (единая справочная - пн-вс 9:00-21:00),,,,http://samoletgroup.ru/project/alhimovo/,,,,,,55.476231999999996,37.53042,https://2gis.com/firm/70000001041263061
Остров,жилой комплекс,Новостройки,"Нижние Мнёвники, к8/5",,123423.0,Терехово д.,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.74892,37.458672,https://2gis.com/firm/70000001057783699
Остров,жилой комплекс,Новостройки,"Нижние Мнёвники, к1/2",,123423.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.748829,37.455247,https://2gis.com/firm/70000001056665345
Румянцево-Парк,Офис продаж,,"деревня Румянцево, вл17е",,,,Московский поселение,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84951278686,,,,http://room-park.ru,,,,,,55.631703,37.416639,https://2gis.com/firm/70000001039851635
Лес,Отдел продаж,Новостройки,"Новоясеневский проспект, вл3 ст2",1 этаж,,,Ясенево район,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,84954321225 (отдел продаж - пн-вс 9:00-20:00),,,,http://les.moscow,http://lesapprt.ru,,,,,55.612398999999996,37.517837,https://2gis.com/firm/70000001044204331
ПИК,Жилой комплекс Волоколамское 24,Новостройки,"шоссе Волоколамское, 24 к2",,123182.0,,Щукино район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/v24?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=volokolam24,,,,https://vk.com/pikru,,55.812445,37.484428,https://2gis.com/firm/70000001042650603
Остров,жилой комплекс,Новостройки,"Нижние Мнёвники, к3/6",,123423.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.747363,37.456555,https://2gis.com/firm/70000001060188248
ПИК,Жилой комплекс Green Park,Новостройки,"Сельскохозяйственная улица, вл35 к7 стр",,129323.0,,Останкинский район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/gp?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=green_park,,,,https://vk.com/pikru,,55.855189,37.624044,https://2gis.com/firm/70000001044415687
Остров,Шоурум,Новостройки,"Нижние Мнёвники, 37а ст2",,123308.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж - пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.752244,37.455259999999996,https://2gis.com/firm/70000001060707234
Остров,жилой комплекс,Новостройки,"жилой комплекс Остров, к4",,123308.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.751957,37.454151,https://2gis.com/firm/70000001054818638
Level Мичуринский,строящийся жилой комплекс,Новостройки,"Озёрная улица, вл7 к2",,,,Очаково-Матвеевское район,Москва,,Москва,Россия,,+03:00,,,,,http://level.ru/en/projects/michurinskiy/building/5,,,,,,55.687993000000006,37.472812,https://2gis.com/firm/70000001060181271
Остров,жилой комплекс,Новостройки,"Нижние Мнёвники, к3/2",,123423.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.749548,37.454077000000005,https://2gis.com/firm/70000001056665359
ФСК,Жилой комплекс Архитектор,Новостройки,"улица Академика Волгина, к1 стр",,119421.0,,Обручевский район,Москва,,Москва,Россия,,+03:00,84951048919 (отдел продаж),,,info@fsk-lider.ru,http://fsk.ru/arhitektor,,,,https://vk.com/gk_fsk,https://youtube.com/user/TheFsklider,55.656319999999994,37.523258,https://2gis.com/firm/70000001046191497
ПИК,Жилой комплекс Лосиноостровский парк,Новостройки,"Открытое шоссе, вл18/1 к1/1",,107143.0,,Метрогородок район,Москва,,Москва,Россия,,+03:00,84951168731 (застройщик),,,info@pik.ru,http://pik.ru,,,,https://vk.com/pikru,,55.817489,37.745801,https://2gis.com/firm/70000001055953358
Родной город. Октябрьское поле,жилой комплекс,Новостройки,"улица Берзарина, 32 к1/2",,123060.0,,Щукино район,Москва,,Москва,Россия,,+03:00,84951252179,84957452025 (отдел продаж - пн-вс 9:00-21:00),,,http://rg-dev.ru,,,,https://vk.com/rgdevofficial,https://youtube.com/channel/UCbSwGlLQuEyOUbkBVpNrq2Q,55.790739,37.470126,https://2gis.com/firm/70000001060841517
ПИК,Жилой комплекс Полар,Новостройки,"Полярная улица, к1/2",,127282.0,,Северное Медведково район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/plr?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=polyarnaya,,,,https://vk.com/pikru,,55.892621,37.644736,https://2gis.com/firm/70000001062282505
Остров,жилой комплекс,Новостройки,"Нижние Мнёвники, к4/4",,123423.0,,Хорошёво-Мнёвники район,Москва,,Москва,Россия,,+03:00,84951266819 (отдел продаж: пн-пт 9:00-21:00; сб-вс 10:00-20:00),,,,http://donstroy.moscow/objects/ostrov?utm_source=2Gis&utm_medium=statika&utm_campaign=ostrov-2022&utm_term=kartochka_ostrov&utm_content=quarter_bestseller,,,,https://vk.com/dsinv,,55.751812,37.450404,https://2gis.com/firm/70000001057783790
ПИК,Жилой комплекс Ютаново,Новостройки,"Газопровод, 6г",,117535.0,,Чертаново Южное район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/ytnv?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=gazoprov,,,,https://vk.com/pikru,,55.586991000000005,37.610879,https://2gis.com/firm/70000001059338023
Лаврушинский,новостройки,Новостройки,"Большой Толмачёвский переулок, вл5",,119017.0,,Якиманка район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,,,,,http://lavrushinskiy.ru/?utm_source=2gis&utm_medium=karta&utm_campaign=lavrushinskiy|2gis|spravochnik|01.08.22&utm_term=L034|beskompromissnyj_dom_s_pryamymi_vidami_na_kreml&utm_content=cn|{campaign_name_lat},,,,,,55.739672,37.620802000000005,https://2gis.com/firm/70000001049496988
Большая семерка,жилой комплекс,Новостройки,"улица Краснобогатырская, 38/1",,107564.0,,Богородское район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84959090101 (отдел продаж),,,,http://bestcon.ru,http://большая-семерка.рф,,,,,55.809951,37.703394,https://2gis.com/firm/70000001059801606
ТСН Кадашевские палаты,,Жилищно-коммунальные услуги,"3-й Кадашёвский переулок, 7-9 ст1",,115035.0,,Якиманка район,Москва,,Москва,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+03:00,89169850550,89150575255 (круглосуточный),,,http://kadashi3.ru,,,,,,55.74175699999999,37.623056,https://2gis.com/firm/70000001050326566
Barton,жилой комплекс,Новостройки,"ЖК Бартон, к5 стр",дом сдан,141009.0,,,,Мытищи городской округ,Московская область,Россия,,+03:00,,,,,,,,,,,55.904469999999996,37.617283,https://2gis.com/firm/70000001038559967
Citimix,жилой комплекс,Новостройки,"Никулинская улица, 11г ст1",,119602.0,,Тропарёво-Никулино район,Москва,,Москва,Россия,,+03:00,84951279354 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),84999678631 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),84952121746 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),,http://citi-mix.ru,http://move.ru,,,,,55.661418999999995,37.452391,https://2gis.com/firm/70000001063159896
Инград,жилой комплекс,Новостройки,"Маршала Бирюзова, 7 к4",,143003.0,Медицинский кластер,,Одинцово,Одинцовский городской округ,Московская область,Россия,,+03:00,,,,,http://www.ingrad.ru/projects/odingrad,,,,,,55.685487,37.267146999999994,https://2gis.com/firm/70000001043854355
Красногорский,жилой комплекс,Новостройки,"Белобородова, к29 стр",,143430.0,Красногорский м-н,,,Красногорск городской округ,Московская область,Россия,,+03:00,84951377361 (отдел продаж - пн-вс 9:00-21:00),,,,http://krasnogorskiy-ndv.ru,,,,,,55.853566,37.202627,https://2gis.com/firm/70000001039534039
КИТ,жилой комплекс,Новостройки,"Новомытищинский проспект, 2Б к1",,141006.0,25-й м-н,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,,,,,http://www.dom-kit.ru,,,,,,55.918185,37.75329,https://2gis.com/firm/70000001047728275
Светлый мир Станция Л,жилой комплекс,Новостройки,"Люблинская улица, вл82 ст3",,109382.0,,Люблино район,Москва,,Москва,Россия,,+03:00,84959884422 (отдел продаж - пн-вс 8:00-21:00),,,,,,,,,,55.662187,37.734704,https://2gis.com/firm/70000001053697049
ПИК,Жилой комплекс Ильинские луга,Новостройки,"ЖК Ильинские луга, к12",,143421.0,,,,Красногорск городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/il-luga?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=novorigskie_kvart,,,,https://vk.com/pikru,,55.772434999999994,37.238402,https://2gis.com/firm/70000001046777907
Дом-Мегалит в Королёве,жилой комплекс,Новостройки,"Калинина, 11",,141070.0,Подлипки м-н,,Королёв,Королёв городской округ,Московская область,Россия,,+03:00,84952923870 (отдел продаж),,,,http://megalit-korolev.ru/?utm_source=2gis&utm_medium=banner&utm_campaign=june22&utm_content=spec_all,,,,,,55.92152900000001,37.816554,https://2gis.com/firm/70000001048759891
ТСЖ Дом на Клинской,,Жилищно-коммунальные услуги,"Клинская, 4 к2",,125414.0,,Ховрино район,Москва,,Москва,Россия,Вт: 20:00-21:00,+03:00,89255147562,,,,,,,,,,55.869275,37.500279,https://2gis.com/firm/70000001043538633
Легендарный квартал,жилой комплекс,Новостройки,"Берёзовая аллея, к2",,127273.0,,Останкинский район,Москва,,Москва,Россия,,+03:00,84951828219 (отдел продаж - пн-вс 9:00-21:00),,,,http://legendarniy.ru,,,,,,55.85006,37.622358,https://2gis.com/firm/70000001024014919
Облака 2.0,строящийся жилой комплекс,Новостройки,"Инициативная, вл1 к2",,140000.0,,,Люберцы,Люберцы городской округ,Московская область,Россия,,+03:00,84996488238 (отдел продаж),84951374491 (отдел продаж),,,http://ob2.ilike.ru,,,,,,55.679479,37.909661,https://2gis.com/firm/70000001051856890
Егорово парк,жилой комплекс,Новостройки,"посёлок Томилино, к1",,140072.0,,,,Люберцы городской округ,Московская область,Россия,,+03:00,84959416261,,,,http://samolet.ru/project/egorovo-park,,,,,,55.639325,37.941023,https://2gis.com/firm/70000001059006979
ФСК,Жилой комплекс Настроение,Новостройки,"улица Красная Сосна, 3",дом сдан,129337.0,,Ярославский район,Москва,,Москва,Россия,,+03:00,84953247290 (отдел продаж - пн-пт 9:00-18:00),,,info@fsk-lider.ru,http://fsk.ru/nastroenie,,,,https://vk.com/gk_fsk,https://youtube.com/user/TheFsklider,55.849637,37.683890999999996,https://2gis.com/firm/70000001035483755
Citimix,жилой комплекс,Новостройки,"Востряковское шоссе, 7 ст1",дом сдан,119602.0,,Тропарёво-Никулино район,Москва,,Москва,Россия,,+03:00,84951279354 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),84999678631 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),84952121746 (отдел продаж - пн-пт 9:00-19:00; сб 10:00-18:00),,http://citi-mix.ru,http://move.ru,,,,,55.661691000000005,37.454068,https://2gis.com/firm/70000001028919133
Новая Рига,жилой комплекс,Новостройки,"деревня Глухово, к1/6",,,,,,Красногорск городской округ,Московская область,Россия,,+03:00,84951262981 (отдел продаж - пн-вс 9:00-21:00),,,,http://granelle.ru/objects/riga/?utm_source=2gis&utm_campaign=riga,,,,,,55.766567,37.243333,https://2gis.com/firm/70000001061598364
ЖК Видный Берег 2.0,Офис продаж,Агентства недвижимости,"квартал Северный, ст1в",,142701.0,Купелинка м-н,,,Ленинский городской округ,Московская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84993506293,,,,http://www.bsa-dom.ru/proekt/zhk_vidnyj_bereg-2/o-proekte,,,,https://vk.com/bsadomru,https://youtube.com/channel/UCK-xOOzVfNB1syZ1Bn8SZXw,55.535478000000005,37.717228999999996,https://2gis.com/firm/70000001048758932
Лобня Сити,жилой комплекс,Новостройки,"Катюшки, к6",,141732.0,,,Лобня,Лобня городской округ,Московская область,Россия,,+03:00,84956459632 (отдел продаж - пн-вс 9:00-21:00),,,,http://lobnya-city.ru,,,,,,56.013940000000005,37.450713,https://2gis.com/firm/70000001027748449
Одинбург,жилой комплекс,Новостройки,"Северная, 15",,143009.0,Одинбург м-н,,Одинцово,Одинцовский городской округ,Московская область,Россия,,+03:00,84951354415 (отдел продаж - пн-вс 9:00-21:00),,,,http://odinburg.ru,,,,,,55.682357999999994,37.248683,https://2gis.com/firm/70000001040086250
Сиреневый парк,жилой комплекс,Новостройки,"Тагильская улица, вл4 к1",,107143.0,,Метрогородок район,Москва,,Москва,Россия,,+03:00,84950213191 (отдел продаж - пн-вс 9:00-21:00),,,,http://afi-park.ru,,,,https://vk.com/club169409401,,55.818127000000004,37.749427000000004,https://2gis.com/firm/70000001051999707
Дом на Барвихинской,жилой комплекс,Новостройки,"Барвихинская, 6",дом сдан,121596.0,,Можайский район,Москва,,Москва,Россия,,+03:00,84951548739 (отдел продаж - пн-вс 9:00-21:00),84993508327,,,http://www.bsa-dom.ru/proekt/zhk_barvicha/o-proekte,,,,,,55.715731000000005,37.389492,https://2gis.com/firm/70000001035946336
Медовая Долина,жилой комплекс,Новостройки,"улица Медовая долина, 1 к2",,108810.0,,Марушкинское поселение,Москва,,Москва,Россия,,+03:00,84951526288 (отдел продаж - пн-вс 9:00-21:00),84955482465 (отдел продаж - пн-вс 9:00-21:00),,,http://www.barkli-md.ru,,,,https://vk.com/public104438698,,55.587185999999996,37.126399,https://2gis.com/firm/70000001035651914
City Bay,жилой комплекс,Новостройки,"шоссе Волоколамское, вл95 к4/1",,125371.0,,Покровское-Стрешнево район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,84950858327,,,mr@mr-group.ru,http://mr-group.ru/projects/zhk-citybay/?utm_source=2gis&utm_medium=cpm&utm_campaign=CityBay_Nectarin,,,,,,55.829989000000005,37.401939,https://2gis.com/firm/70000001051994046
Испанские кварталы 2,жилой комплекс,Новостройки,"улица Пикассо, 2 к2",дом сдан,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84956657395 (отдел продаж - пн-вс 9:00-21:00),84952415265 (застройщик - пн-вс 9:00-21:00),84953080181 (отдел продаж - пн-вс 9:00-21:00),,http://www.a101.ru,,,,,,55.588646999999995,37.446621,https://2gis.com/firm/70000001033464008
Фестиваль парк,жилой комплекс,Новостройки,"улица Фестивальная, вл29 к26",,125195.0,,Левобережный район,Москва,,Москва,Россия,,+03:00,84999181397 (отдел продаж - пн-пт 9:00-21:00),84951628051,,,http://jk-festivalpark.ru,,,,,,55.859903,37.47475,https://2gis.com/firm/70000001054595991
ПИК,строящиеся объекты,Новостройки,"улица Сокольнический Вал, вл1д",,107113.0,,Сокольники район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,info@pik.ru,http://www.pik.ru/sv1?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=sok_val,,,,https://vk.com/pikru,,55.794113,37.652747999999995,https://2gis.com/firm/70000001054337849
LIFE-Варшавская,строящийся жилой комплекс,Новостройки,"2-й Котляковский переулок, вл1 к8",,115201.0,,Москворечье-Сабурово район,Москва,,Москва,Россия,,+03:00,84955029559 (отдел продаж - пн-пт 9:30-18:30),84956688867 (отдел продаж ),84951276887 (отдел продаж - пн-пт 9:30-18:30),,http://varshavskaya.life,,,,,,55.652174,37.630806,https://2gis.com/firm/70000001055760521
ПИК,Жилой комплекс Волоколамское 24,Новостройки,"шоссе Волоколамское, вл24 к2",,123182.0,,Щукино район,Москва,,Москва,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00,+03:00,84951168731 (застройщик),,,,http://www.pik.ru/v24?utm_source=2gis&utm_medium=display&utm_term=moskva&utm_content=poi&utm_campaign=volokolam24,,,,https://vk.com/pikru,,55.811702000000004,37.484795,https://2gis.com/firm/70000001042682799
